"wflow_id",".config","preproc","model",".metric",".estimator","mean","n","std_err"
"bazowy_przepis_log_reg","pre0_mod09_post0","recipe","logistic_reg","recall","binary",0.63891414205541,5,0.00465073736707739
"bazowy_przepis_log_reg","pre0_mod09_post0","recipe","logistic_reg","roc_auc","binary",0.785098935022267,5,0.00224853138921355
"bazowy_przepis_log_reg","pre0_mod10_post0","recipe","logistic_reg","f_meas","binary",0.433755146326569,5,0.00481877067748804
"bazowy_przepis_log_reg","pre0_mod10_post0","recipe","logistic_reg","pr_auc","binary",0.408387392903754,5,0.00518094065410481
"bazowy_przepis_log_reg","pre0_mod10_post0","recipe","logistic_reg","precision","binary",0.328362321254303,5,0.0051120829750221
"bazowy_przepis_log_reg","pre0_mod10_post0","recipe","logistic_reg","recall","binary",0.639183683834386,5,0.00441689185462373
"bazowy_przepis_log_reg","pre0_mod10_post0","recipe","logistic_reg","roc_auc","binary",0.785087825514389,5,0.00225406916202379
"bazowy_przepis_log_reg","pre0_mod11_post0","recipe","logistic_reg","f_meas","binary",0.434533157079673,5,0.00479301002768649
"bazowy_przepis_log_reg","pre0_mod11_post0","recipe","logistic_reg","pr_auc","binary",0.410561652074836,5,0.00516154419943161
"bazowy_przepis_log_reg","pre0_mod11_post0","recipe","logistic_reg","precision","binary",0.328555804999876,5,0.00525208936832035
"bazowy_przepis_log_reg","pre0_mod11_post0","recipe","logistic_reg","recall","binary",0.641877650524391,5,0.00367071692763632
"bazowy_przepis_log_reg","pre0_mod11_post0","recipe","logistic_reg","roc_auc","binary",0.785200469360524,5,0.00224844823107704
"bazowy_przepis_log_reg","pre0_mod12_post0","recipe","logistic_reg","f_meas","binary",0.429216476944317,5,0.0052514205457983
"bazowy_przepis_log_reg","pre0_mod12_post0","recipe","logistic_reg","pr_auc","binary",0.411925787618818,5,0.00548375812456643
"bazowy_przepis_log_reg","pre0_mod12_post0","recipe","logistic_reg","precision","binary",0.32268536531934,5,0.00567502049349651
"bazowy_przepis_log_reg","pre0_mod12_post0","recipe","logistic_reg","recall","binary",0.64133856696644,5,0.00549644403050829
"bazowy_przepis_log_reg","pre0_mod12_post0","recipe","logistic_reg","roc_auc","binary",0.783839814917354,5,0.00197598944802857
"bazowy_przepis_log_reg","pre0_mod13_post0","recipe","logistic_reg","f_meas","binary",0.426202434556955,5,0.00485732450253481
"bazowy_przepis_log_reg","pre0_mod13_post0","recipe","logistic_reg","pr_auc","binary",0.414530776821554,5,0.00478577134188835
